"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"HAVCR2","GRM7","IFNE"
"HC","GRN","IFNG"
"HCK","GSDMD","IFNGR1"
"HCST","GSN","IFNGR2"
"HERC6","GSTP1","IFNK"
"HEXIM1","H2-AA","IFNL2"
"HFE","H2-AB1","IFNL3"
"HK1","H2-BL","IFNLR1"
"HLX","H2-EB1","IGF2"
"HMGB1","H2-K1","IGHA"
"HMGB2","H2-L","IGHD"
"HMGB3","H2-M3","IGHE"
"HMGB4","H2-Q7","IGHG"
"HMOX1","H2-Q9","IGHG1"
"HPRT","H2-T23","IGHG2A"
"HPX","H2BC1","IGHG2B"
"HRAS","H2BC4","IGHG2C"
"HRG","H2BC6","IGHG3"
"HSP84-2","H2BC7","IGHM"
"HSPA8","H2BC8","IGHV1-4"
"HSPD1","H2BC12","IGHV1-5"
"ICAM1","H2BC13","IGHV1-7"
"ICOSL","H2BC21","IGHV1-9"
"IDO1","H60A","IGHV1-11"
"IFI27L2B","H60B","IGHV1-12"
"IFI44","H60C","IGHV1-15"
"IFI44L","HAMP","IGHV1-16"
"IFI202A","HAMP2","IGHV1-18"
"IFI203","HAVCR2","IGHV1-19"
"IFI204","HC","IGHV1-20"
"IFI205","HCK","IGHV1-22"
"IFI208","HDAC5","IGHV1-23"
"IFI209","HDAC7","IGHV1-24"
"IFI211","HDAC9","IGHV1-26"
"IFI214","HERC6","IGHV1-31"
"IFIH1","HEXIM1","IGHV1-34"
"IFIT1","HGF","IGHV1-36"
"IFIT2","HIF1A","IGHV1-37"
"IFIT3","HK1","IGHV1-39"
"IFITM1","HMGB1","IGHV1-42"
"IFITM2","HMGB2","IGHV1-43"
"IFITM3","HMGB3","IGHV1-47"
"IFITM6","HMGB4","IGHV1-49"
"IFITM7","HMOX1","IGHV1-50"
"IFNA","HNRNPA0","IGHV1-52"
"IFNA1","HP","IGHV1-53"
"IFNA2","HPX","IGHV1-54"
"IFNA4","HRAS","IGHV1-55"
"IFNA5","HRG","IGHV1-56"
"IFNA6","HRH4","IGHV1-58"
"IFNA7","HSF1","IGHV1-59"
"IFNA9","HSP84-2","IGHV1-61"
"IFNA11","HSPD1","IGHV1-62-1"
"IFNA12","HTR1A","IGHV1-62-2"
"IFNA13","HTR2C","IGHV1-62-3"
"IFNA14","HTRA1","IGHV1-63"
"IFNA15","HYAL1","IGHV1-64"
"IFNA16","HYAL2","IGHV1-66"
"IFNAB","HYAL3","IGHV1-67"
"IFNAR1","ICAM1","IGHV1-69"
"IFNAR2","IDO1","IGHV1-72"
"IFNB1","IER3","IGHV1-74"
"IFNE","IFI27L2B","IGHV1-75"
"IFNG","IFI44L","IGHV1-76"
"IFNK","IFI47","IGHV1-77"
"IFNL2","IFI202A","IGHV1-78"
"IFNL3","IFI203","IGHV1-80"
"IFNLR1","IFI204","IGHV1-81"
"IFNZ","IFI205","IGHV1-82"
"IGF1R","IFI208","IGHV1-84"
"IGF2","IFI209","IGHV1-85"
"IGH-7","IFI211","IGHV2-2"
"IGH-8","IFI214","IGHV2-3"
"IGHA","IFIH1","IGHV2-4"
"IGHD","IFIT1","IGHV2-5"
"IGHE","IFIT1BL1","IGHV2-6"
"IGHG","IFIT1BL2","IGHV2-6-8"
"IGHG1","IFIT2","IGHV2-7"
"IGHG2A","IFIT3","IGHV2-9"
"IGHG2B","IFIT3B","IGHV2-9-1"
